Order Number,Line Item,Order Date,Delivery Date,CustomerKey,StoreKey,ProductKey,Quantity,Currency Code,DeliveryMissing,Gender,Name,City,State Code,State_x,Zip Code,Country_x,Continent,Birthday,Product Name,Brand,Color,Unit Cost USD,Unit Price USD,SubcategoryKey,Subcategory,CategoryKey,Category,Country_y,State_y,Square Meters,Open Date,Exchange
366001,1,2016-01-01,2016-01-13,1269051,0,1048,2,USD,False,Male,Frank Upchurch,Auberry,CA,California,93602,United States,North America,1995-11-20,A. Datum SLR Camera X136 Silver,A. Datum,Silver,141.47,427.0,402,Digital SLR Cameras,4,Cameras and camcorders,Online,Online,1402.1969696969697,2010-01-01,1.0
366001,2,2016-01-01,2016-01-13,1269051,0,2007,1,USD,False,Male,Frank Upchurch,Auberry,CA,California,93602,United States,North America,1995-11-20,Fabrikam Microwave 1.5CuFt X1100 Black,Fabrikam,Black,220.64,665.94,803,Microwaves,8,Home Appliances,Online,Online,1402.1969696969697,2010-01-01,1.0
366002,1,2016-01-01,2016-01-12,266019,0,1106,7,CAD,False,Female,Joan Roche,Red Deer,AB,Alberta,T4N 2A6,Canada,North America,1962-08-24,Contoso SLR Camera M146 Orange,Contoso,Orange,148.08,322.0,402,Digital SLR Cameras,4,Cameras and camcorders,Online,Online,1402.1969696969697,2010-01-01,1.3884
366002,2,2016-01-01,2016-01-12,266019,0,373,1,CAD,False,Female,Joan Roche,Red Deer,AB,Alberta,T4N 2A6,Canada,North America,1962-08-24,Adventure Works Laptop8.9 E0890 White,Adventure Works,White,166.2,326.0,301,Laptops,3,Computers,Online,Online,1402.1969696969697,2010-01-01,1.3884
366002,3,2016-01-01,2016-01-12,266019,0,1080,4,CAD,False,Female,Joan Roche,Red Deer,AB,Alberta,T4N 2A6,Canada,North America,1962-08-24,Contoso SLR Camera X143 Silver,Contoso,Silver,214.03,646.0,402,Digital SLR Cameras,4,Cameras and camcorders,Online,Online,1402.1969696969697,2010-01-01,1.3884
366010,1,2016-01-01,2016-01-08,370077,0,618,5,CAD,False,Female,Carlota Etzel,Sainte-Gertrude,QC,Quebec,G0X 2S0,Canada,North America,1971-02-02,WWI Screen 113in M1610 Black,Wide World Importers,Black,99.06,299.0,305,Projectors & Screens,3,Computers,Online,Online,1402.1969696969697,2010-01-01,1.3884
366014,1,2016-01-01,2016-01-06,738549,0,123,1,EUR,False,Female,Clara Toscani,Pollone,BI,Biella,13814,Italy,Europe,1998-12-25,"Adventure Works 19"" Portable LCD HDTV M110 Black",Adventure Works,Black,128.76,279.99,201,Televisions,2,TV and Video,Online,Online,1402.1969696969697,2010-01-01,0.9185
366014,2,2016-01-01,2016-01-06,738549,0,1700,2,EUR,False,Female,Clara Toscani,Pollone,BI,Biella,13814,Italy,Europe,1998-12-25,SV Hand Games women M40 Red,Southridge Video,Red,4.08,8.88,701,Boxed Games,7,Games and Toys,Online,Online,1402.1969696969697,2010-01-01,0.9185
367005,1,2016-01-02,2016-01-10,758280,0,1691,1,EUR,False,Male,Adolfo Genovesi,Teglia,GE,Genova,16161,Italy,Europe,1993-07-29,SV Hand Games for kids E30 Black,Southridge Video,Black,2.75,5.39,701,Boxed Games,7,Games and Toys,Online,Online,1402.1969696969697,2010-01-01,0.9185
367005,2,2016-01-02,2016-01-10,758280,0,319,2,EUR,False,Male,Adolfo Genovesi,Teglia,GE,Genova,16161,Italy,Europe,1993-07-29,SV Car Video LCD9.2W X9281 Silver,Southridge Video,Silver,287.92,869.0,205,Car Video,2,TV and Video,Online,Online,1402.1969696969697,2010-01-01,0.9185
367005,3,2016-01-02,2016-01-10,758280,0,1674,8,EUR,False,Male,Adolfo Genovesi,Teglia,GE,Genova,16161,Italy,Europe,1993-07-29,MGS Hand Games for students E400 Red,Tailspin Toys,Red,3.56,6.99,701,Boxed Games,7,Games and Toys,Online,Online,1402.1969696969697,2010-01-01,0.9185
367005,4,2016-01-02,2016-01-10,758280,0,2511,9,EUR,False,Male,Adolfo Genovesi,Teglia,GE,Genova,16161,Italy,Europe,1993-07-29,Contoso Original K1m Li-Ion Standard Battery E170 Silver,Contoso,Silver,2.07,4.06,505,Cell phones Accessories,5,Cell phones,Online,Online,1402.1969696969697,2010-01-01,0.9185
367005,5,2016-01-02,2016-01-10,758280,0,1720,2,EUR,False,Male,Adolfo Genovesi,Teglia,GE,Genova,16161,Italy,Europe,1993-07-29,MGS Zoo Tycoon 2: African Adventure M280,Tailspin Toys,Black,32.25,70.13,702,Download Games,7,Games and Toys,Online,Online,1402.1969696969697,2010-01-01,0.9185
367005,6,2016-01-02,2016-01-10,758280,0,1597,7,EUR,False,Male,Adolfo Genovesi,Teglia,GE,Genova,16161,Italy,Europe,1993-07-29,SV DVD External DVD Burner M200 Black,Southridge Video,Black,26.62,57.88,602,Movie DVD,6,"Music, Movies and Audio Books",Online,Online,1402.1969696969697,2010-01-01,0.9185
367005,7,2016-01-02,2016-01-10,758280,0,784,1,EUR,False,Male,Adolfo Genovesi,Teglia,GE,Genova,16161,Italy,Europe,1993-07-29,Contoso Laptop Starter Bundle M200 White,Contoso,White,7.59,16.5,308,Computers Accessories,3,Computers,Online,Online,1402.1969696969697,2010-01-01,0.9185
367028,1,2016-01-02,2016-01-11,607356,0,976,1,EUR,False,Female,Fanette Michaud,AURILLAC,AU,Auvergne,15000,France,Europe,1989-07-06,A. Datum All in One Digital Camera M200 Pink,A. Datum,Pink,86.45,188.0,401,Digital Cameras,4,Cameras and camcorders,Online,Online,1402.1969696969697,2010-01-01,0.9185
367028,2,2016-01-02,2016-01-11,607356,0,2017,3,EUR,False,Female,Fanette Michaud,AURILLAC,AU,Auvergne,15000,France,Europe,1989-07-06,Fabrikam Microwave 0.9CuFt E0900 Blue,Fabrikam,Blue,50.98,99.99,803,Microwaves,8,Home Appliances,Online,Online,1402.1969696969697,2010-01-01,0.9185
367031,1,2016-01-02,2016-01-07,909014,0,120,3,GBP,False,Female,Tegan Macdonald,WESTON UNDER PENYARD,Hereford,Hereford,HR9 6LU,United Kingdom,Europe,1954-10-19,"Adventure Works 13"" Color TV E25 Black",Adventure Works,Black,61.17,119.99,201,Televisions,2,TV and Video,Online,Online,1402.1969696969697,2010-01-01,0.6742
